ID	MRF_flow_1_1_S17_L007.profile	MRF_flow_1_3_S19_L007.profile	MRF_flow_2_1_S21_L007.profile	MRF_flow_2_2_S23_L007.profile	MRF_flow_2_3_S25_L007.profile	MRF_flow_3_2_S27_L007.profile	MRF_pod_1_1_S28_L007.profile	MRF_pod_2_1_S29_L007.profile	MRF_pod_2_2_S18_L007.profile	MRF_senesc_1_2_S20_L007.profile	MRF_senesc_1_3_S22_L007.profile	MRF_senesc_2_3_S24_L007.profile	MRF_senesc_3_1_S26_L007.profile	MRF_senesc_3_2_S37_L008.profile	MRF_senesc_3_3_S39_L008.profile	MRF_V2_1_1_S41_L008.profile	MRF_V2_1_2_S43_L008.profile	MRF_V2_1_3_S31_L008.profile	MRF_V2_2_1_S33_L008.profile	MRF_V2_2_3_S35_L008.profile	MRF_V2_3_3_S36_L008.profile	MRF_V5_1_1_S38_L008.profile	MRF_V5_1_2_S40_L008.profile	MRF_V5_2_2_S42_L008.profile	MRF_V5_2_3_S30_L008.profile	MRF_V5_3_1_S32_L008.profile	MRF_V5_3_2_S34_L008.profile
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae	11.60677	13.61111	14.09173	11.58718	13.6765	9.17946	11.86779	10.16348	6.8585	10.72409	10.53784	7.06205	11.20819	5.78004	10.78115	7.96086	7.08735	7.86823	9.80499	7.90631	9.63012	11.06683	11.57424	8.42482	12.80607	7.61022	9.94641
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Mesorhizobium	11.60677	13.61111	14.09173	11.58718	13.6765	9.17946	11.86779	10.16348	6.8585	10.72409	10.53784	7.06205	11.20819	5.78004	10.78115	7.96086	7.08735	7.86823	9.80499	7.90631	9.63012	11.06683	11.57424	8.42482	12.80607	7.61022	9.94641
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Mesorhizobium|s__Mesorhizobium_loti	6.21703	5.55438	7.81517	5.56387	5.13944	2.89324	5.19088	6.05505	2.96176	6.23523	5.57408	4.18338	4.44673	2.29527	4.01434	3.6258	3.12757	3.4721	4.75679	3.89434	4.21868	4.72964	4.48185	3.71301	6.40178	2.35303	4.78526
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Mesorhizobium|s__Mesorhizobium_loti|t__Mesorhizobium_loti_unclassified	6.21703	5.55438	7.81517	5.56387	5.13944	2.89324	5.19088	6.05505	2.96176	6.23523	5.57408	4.18338	4.44673	2.29527	4.01434	3.6258	3.12757	3.4721	4.75679	3.89434	4.21868	4.72964	4.48185	3.71301	6.40178	2.35303	4.78526
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Mesorhizobium|s__Mesorhizobium_unclassified	5.38974	8.05673	6.27656	6.02331	8.53707	6.28622	6.67691	4.10842	3.89674	4.48887	4.96376	2.87868	6.76146	3.48477	6.76681	4.33506	3.95979	4.39614	5.0482	4.01197	5.41145	6.33719	7.09239	4.71181	6.4043	5.25719	5.16115
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae	0.63493	0.0	0.18334	0.95816	1.1673	0.0	0.94128	7.18218	1.3618	4.39606	6.18318	24.13831	1.98161	34.25484	0.48574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06553	26.5708	0.0	0.0	1.20315
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Agrobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20315
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Agrobacterium|s__Agrobacterium_tumefaciens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52939
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Agrobacterium|s__Agrobacterium_tumefaciens|t__Agrobacterium_tumefaciens_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52939
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Agrobacterium|s__Agrobacterium_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67376
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium	0.63493	0.0	0.18334	0.95816	1.1673	0.0	0.94128	6.95812	1.3618	4.39606	6.18318	24.13831	1.98161	34.25484	0.48574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06553	26.5708	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_etli	0.0	0.0	0.0	0.24317	0.40045	0.0	0.15183	0.59854	0.0	1.22151	1.34318	4.48643	0.32685	2.63537	0.13173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.61404	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_etli|t__Rhizobium_etli_unclassified	0.0	0.0	0.0	0.24317	0.40045	0.0	0.15183	0.59854	0.0	1.22151	1.34318	4.48643	0.32685	2.63537	0.13173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.61404	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_leguminosarum	0.63493	0.0	0.18334	0.71499	0.76685	0.0	0.78944	6.35958	1.3618	3.17455	4.84	19.65189	1.65477	31.61947	0.35401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06553	14.95676	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_leguminosarum|t__Rhizobium_leguminosarum_unclassified	0.63493	0.0	0.18334	0.71499	0.76685	0.0	0.78944	6.35958	1.3618	3.17455	4.84	19.65189	1.65477	31.61947	0.35401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06553	14.95676	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhodobiaceae	0.0	0.0	0.0	0.0	0.0	0.75452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhodobiaceae|g__Rhodobiaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.75452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Rhodospirillum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Rhodospirillum|s__Rhodospirillum_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	0.22384	0.0	0.0	0.0	0.0	0.0	0.44822	0.02261	0.35527	0.0	0.51868	0.0	0.22138	0.0	0.0	0.14805	0.59885	0.0	0.49159	0.17286	0.0	0.75308	0.0	0.47332	0.33528	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	0.22384	0.0	0.0	0.0	0.0	0.0	0.44822	0.02261	0.35527	0.0	0.51868	0.0	0.22138	0.0	0.0	0.14805	0.59885	0.0	0.49159	0.17286	0.0	0.75308	0.0	0.47332	0.33528	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium	0.22384	0.0	0.0	0.0	0.0	0.0	0.44822	0.0	0.35527	0.0	0.15892	0.0	0.22138	0.0	0.0	0.14805	0.59885	0.0	0.49159	0.17286	0.0	0.75308	0.0	0.47332	0.33528	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium_unclassified	0.22384	0.0	0.0	0.0	0.0	0.0	0.44822	0.0	0.35527	0.0	0.15892	0.0	0.22138	0.0	0.0	0.14805	0.59885	0.0	0.49159	0.17286	0.0	0.75308	0.0	0.47332	0.33528	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02261	0.0	0.0	0.35976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02261	0.0	0.0	0.35976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	26.68649	23.73253	23.72799	29.12936	27.68258	18.58367	28.55694	40.1461	27.51676	28.22991	31.26233	21.81057	30.2322	16.55668	17.8956	17.57948	20.13914	20.94126	27.08046	25.18909	18.03635	24.01124	20.15386	11.46766	20.26001	14.93619	26.23606
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	24.91721	22.36381	22.03383	27.87751	27.2889	17.38876	27.86733	39.43143	26.27366	27.4286	29.78212	20.35181	29.05554	15.51751	16.15319	16.42318	19.12426	19.92094	26.05815	24.25799	16.26403	23.02613	18.44578	11.00812	19.16729	13.64326	24.95118
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41768	0.0	0.10298	0.0	0.0	0.0	0.0	0.36012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.40759
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41768	0.0	0.10298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.40759
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter_piechaudii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35262	0.0	0.04605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39282
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter_piechaudii|t__Achromobacter_piechaudii_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35262	0.0	0.04605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39282
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06506	0.0	0.05694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01477
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Pusillimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Pusillimonas|s__Pusillimonas_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	13.10886	12.32609	11.17766	12.6747	12.78496	13.00659	12.14726	21.99554	16.89691	9.26992	8.43661	7.34122	13.34944	8.24315	5.85933	9.28	10.77149	7.60517	12.73225	16.66216	9.05411	13.7718	11.41842	3.91337	8.31028	7.0772	13.48444
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia	10.4152	12.05279	7.38107	6.63302	10.04174	10.95474	9.98326	11.78838	16.70474	6.87367	6.77447	6.17119	10.79007	4.61366	4.72203	6.50964	10.77149	7.60517	12.73225	15.307	9.05411	12.59514	10.4376	3.26773	8.31028	7.0772	13.20315
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_ambifaria	0.0	0.0	0.0	0.19843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_ambifaria|t__Burkholderia_ambifaria_unclassified	0.0	0.0	0.0	0.19843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_graminis	0.0	0.0	0.0	0.0622	0.0	0.06896	0.0251	0.35411	0.15502	0.0	0.25824	0.07999	0.0	0.0882	0.0	0.19139	0.19038	0.0	0.02598	0.0	0.17354	0.0	0.72601	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_graminis|t__GCF_000172415	0.0	0.0	0.0	0.0622	0.0	0.06896	0.0251	0.35411	0.15502	0.0	0.25824	0.07999	0.0	0.0882	0.0	0.19139	0.19038	0.0	0.02598	0.0	0.17354	0.0	0.72601	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_unclassified	10.4152	12.05279	7.38107	6.37239	10.04174	10.88578	9.95816	11.43427	16.54972	6.87367	6.51623	6.0912	10.79007	4.52546	4.72203	6.31825	10.58111	7.60517	12.70627	15.307	8.88056	12.59514	9.71159	3.26773	8.31028	7.0772	13.20315
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia	2.69365	0.2733	3.7966	6.04168	2.74321	2.05185	2.16399	10.20717	0.19217	2.39625	1.16645	1.17003	2.55937	3.62949	1.1373	2.77036	0.0	0.0	0.0	1.35516	0.0	1.17666	0.98082	0.64565	0.0	0.0	0.28129
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_pickettii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_pickettii|t__Ralstonia_pickettii_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_unclassified	2.69365	0.2733	3.7966	6.04168	2.74321	2.05185	2.16399	9.89279	0.19217	2.39625	1.16645	1.17003	2.55937	3.62949	1.1373	2.77036	0.0	0.0	0.0	1.35516	0.0	1.17666	0.98082	0.64565	0.0	0.0	0.28129
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.0	0.0	0.96518	2.97381	0.8754	0.0	0.8703	0.66064	0.37447	0.0	0.0	0.0	0.0	0.0	2.2229	0.0	0.0	0.0	0.0	0.6672	0.0	0.0	0.0	0.0	1.95604	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Thiomonas	0.0	0.0	0.96518	2.97381	0.8754	0.0	0.8703	0.66064	0.37447	0.0	0.0	0.0	0.0	0.0	2.2229	0.0	0.0	0.0	0.0	0.6672	0.0	0.0	0.0	0.0	1.95604	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Thiomonas|s__Thiomonas_unclassified	0.0	0.0	0.96518	2.97381	0.8754	0.0	0.8703	0.66064	0.37447	0.0	0.0	0.0	0.0	0.0	2.2229	0.0	0.0	0.0	0.0	0.6672	0.0	0.0	0.0	0.0	1.95604	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	11.42346	9.96586	9.35416	11.49064	13.27248	4.30799	14.57954	15.29174	8.78082	17.78856	20.55908	11.21156	15.10405	7.03272	7.86976	6.77193	7.47984	11.21651	12.27769	5.92585	6.25825	8.6442	6.57603	6.77033	8.39392	6.37234	8.47508
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Polaromonas	3.92602	1.16295	0.35211	3.59796	2.07472	0.85193	2.36675	2.38237	4.23744	1.42004	1.69642	4.16245	0.90564	2.1621	3.0536	2.62331	2.59601	4.77463	6.50761	1.60852	2.06059	3.63326	2.3677	3.86385	3.42864	3.3556	1.70701
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Polaromonas|s__Polaromonas_unclassified	3.92602	1.16295	0.35211	3.59796	2.07472	0.85193	2.36675	2.38237	4.23744	1.42004	1.69642	4.16245	0.90564	2.1621	3.0536	2.62331	2.59601	4.77463	6.50761	1.60852	2.06059	3.63326	2.3677	3.86385	3.42864	3.3556	1.70701
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax	7.49744	8.80291	9.00205	7.89268	11.19776	3.45606	12.21279	12.90937	4.54338	16.36852	18.86266	7.04911	14.19842	4.87062	4.81616	4.14862	4.88383	6.44188	5.77008	4.31733	4.19766	5.01094	4.20833	2.90648	4.96528	3.01673	6.76808
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax|s__Variovorax_paradoxus	0.0	0.0	0.0	0.30218	0.0	0.0	0.06303	0.51344	0.07893	0.29756	0.03126	0.10225	0.0	0.0	0.0	0.0	0.0	0.15497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10279
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax|s__Variovorax_paradoxus|t__Variovorax_paradoxus_unclassified	0.0	0.0	0.0	0.30218	0.0	0.0	0.06303	0.51344	0.07893	0.29756	0.03126	0.10225	0.0	0.0	0.0	0.0	0.0	0.15497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10279
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax|s__Variovorax_unclassified	7.49744	8.80291	9.00205	7.5905	11.19776	3.45606	12.14976	12.39593	4.46445	16.07095	18.83141	6.94686	14.19842	4.87062	4.81616	4.14862	4.88383	6.28691	5.77008	4.31733	4.19766	5.01094	4.20833	2.90648	4.96528	3.01673	6.66529
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.3849	0.07186	0.53683	0.73836	0.35606	0.07418	0.27024	1.4835	0.22146	0.37012	0.36876	1.79903	0.49907	0.24164	0.2012	0.37125	0.87292	0.73914	1.04822	1.00278	0.95168	0.61013	0.45133	0.32441	0.50706	0.19372	0.58407
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13241	0.27084	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum|s__Herbaspirillum_lusitanum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum|s__Herbaspirillum_lusitanum|t__GCF_000256565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum|s__Herbaspirillum_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27084	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium	0.22248	0.0	0.0	0.18116	0.0	0.0	0.0	0.16196	0.08948	0.0	0.0	1.38644	0.17117	0.12305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium|s__Janthinobacterium_unclassified	0.22248	0.0	0.0	0.18116	0.0	0.0	0.0	0.16196	0.08948	0.0	0.0	1.38644	0.17117	0.12305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia	0.16241	0.07186	0.53683	0.55719	0.35606	0.07418	0.27024	0.26444	0.13198	0.37012	0.36876	0.41259	0.3279	0.1186	0.2012	0.37125	0.87292	0.73914	0.91581	0.73193	0.95168	0.61013	0.45133	0.32441	0.50706	0.19372	0.58407
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia|s__Massilia_unclassified	0.16241	0.07186	0.53683	0.55719	0.35606	0.07418	0.27024	0.26444	0.13198	0.37012	0.36876	0.41259	0.3279	0.1186	0.2012	0.37125	0.87292	0.73914	0.91581	0.73193	0.95168	0.61013	0.45133	0.32441	0.50706	0.19372	0.58407
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales	0.0	0.0	0.23823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales|f__Methylophilaceae	0.0	0.0	0.23823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales|f__Methylophilaceae|g__Methylotenera	0.0	0.0	0.23823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
